pair_id,audio_file,transcript_file,speaker_id,speaker_name,gender,age,dialect,governorate,transcript,normalized_text,audio_processed,segmented,aligned,alignment_score,source,language,country,remarks,audio_valid,duration_sec,sample_rate,channels,bit_depth,rms,peak,silence_ratio,validation_message,exists,readable,utf8,empty,duplicated,characters,words,lines,status,message,transcript_valid,pair_valid,text_processed,text_status
PAIR_000022,IQ_000022.wav,IQ_000022.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.486,16000,1,PCM_16,0.066229,0.400055,0.037284,OK,True,True,True,False,False,38,8,1,Valid,,True,True,True,Processed
PAIR_000023,IQ_000023.wav,IQ_000023.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.635,16000,1,PCM_16,0.023749,0.165466,0.092882,OK,True,True,True,False,False,10,2,1,Valid,,True,True,True,Processed
PAIR_000024,IQ_000024.wav,IQ_000024.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.907,16000,1,PCM_16,0.02498,0.187775,0.103724,OK,True,True,True,False,False,60,11,1,Valid,,True,True,True,Processed
PAIR_000025,IQ_000025.wav,IQ_000025.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,7.242,16000,1,PCM_16,0.031028,0.284576,0.064105,OK,True,True,True,False,False,96,20,1,Valid,,True,True,True,Processed
PAIR_000026,IQ_000026.wav,IQ_000026.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.165,16000,1,PCM_16,0.03112,0.210052,0.060419,OK,True,True,True,False,False,60,11,1,Valid,,True,True,True,Processed
PAIR_000027,IQ_000027.wav,IQ_000027.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.801,16000,1,PCM_16,0.026489,0.197937,0.064429,OK,True,True,True,False,False,59,13,1,Valid,,True,True,True,Processed
PAIR_000028,IQ_000028.wav,IQ_000028.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.631,16000,1,PCM_16,0.025507,0.178314,0.060837,OK,True,True,True,False,False,26,5,1,Valid,,True,True,True,Processed
PAIR_000029,IQ_000029.wav,IQ_000029.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.94,16000,1,PCM_16,0.019886,0.139984,0.062309,OK,True,True,True,False,False,45,7,1,Valid,,True,True,True,Processed
PAIR_000030,IQ_000030.wav,IQ_000030.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.312,16000,1,PCM_16,0.031019,0.284729,0.055499,OK,True,True,True,False,False,28,6,1,Valid,,True,True,True,Processed
PAIR_000031,IQ_000031.wav,IQ_000031.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.339,16000,1,PCM_16,0.036922,0.239197,0.061912,OK,True,True,True,False,False,28,6,1,Valid,,True,True,True,Processed
PAIR_000032,IQ_000032.wav,IQ_000032.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.132,16000,1,PCM_16,0.033988,0.279694,0.072196,OK,True,True,True,False,False,49,11,1,Valid,,True,True,True,Processed
PAIR_000033,IQ_000033.wav,IQ_000033.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.015,16000,1,PCM_16,0.039261,0.287262,0.069859,OK,True,True,True,False,False,32,6,1,Valid,,True,True,True,Processed
PAIR_000034,IQ_000034.wav,IQ_000034.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.792,16000,1,PCM_16,0.029365,0.107635,0.037737,OK,True,True,True,False,False,21,4,1,Valid,,True,True,True,Processed
PAIR_000035,IQ_000035.wav,IQ_000035.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.254,16000,1,PCM_16,0.027993,0.204102,0.069626,OK,True,True,True,False,False,42,8,1,Valid,,True,True,True,Processed
PAIR_000036,IQ_000036.wav,IQ_000036.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.42,16000,1,PCM_16,0.019837,0.184082,0.097167,OK,True,True,True,False,False,48,9,1,Valid,,True,True,True,Processed
PAIR_000037,IQ_000037.wav,IQ_000037.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.828,16000,1,PCM_16,0.019009,0.156586,0.098092,OK,True,True,True,False,False,25,4,1,Valid,,True,True,True,Processed
PAIR_000038,IQ_000038.wav,IQ_000038.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.735,16000,1,PCM_16,0.036157,0.292664,0.075948,OK,True,True,True,False,False,73,12,1,Valid,,True,True,True,Processed
PAIR_000039,IQ_000039.wav,IQ_000039.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.152,16000,1,PCM_16,0.03427,0.322723,0.063967,OK,True,True,True,False,False,49,9,1,Valid,,True,True,True,Processed
PAIR_000040,IQ_000040.wav,IQ_000040.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,7.753,16000,1,PCM_16,0.031375,0.252289,0.064136,OK,True,True,True,False,False,104,16,1,Valid,,True,True,True,Processed
PAIR_000041,IQ_000041.wav,IQ_000041.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.705,16000,1,PCM_16,0.013632,0.086578,0.134311,OK,True,True,True,False,False,13,2,1,Valid,,True,True,True,Processed
PAIR_000042,IQ_000042.wav,IQ_000042.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.229,16000,1,PCM_16,0.02088,0.155304,0.075258,OK,True,True,True,False,False,20,3,1,Valid,,True,True,True,Processed
PAIR_000043,IQ_000043.wav,IQ_000043.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.412,16000,1,PCM_16,0.035139,0.223541,0.050926,OK,True,True,True,False,False,33,5,1,Valid,,True,True,True,Processed
PAIR_000044,IQ_000044.wav,IQ_000044.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.334,16000,1,PCM_16,0.035468,0.288574,0.077018,OK,True,True,True,False,False,75,14,1,Valid,,True,True,True,Processed
PAIR_000045,IQ_000045.wav,IQ_000045.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.652,16000,1,PCM_16,0.036321,0.307098,0.075404,OK,True,True,True,False,False,56,9,1,Valid,,True,True,True,Processed
PAIR_000046,IQ_000046.wav,IQ_000046.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.126,16000,1,PCM_16,0.044492,0.335114,0.05662,OK,True,True,True,False,False,18,4,1,Valid,,True,True,True,Processed
PAIR_000047,IQ_000047.wav,IQ_000047.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.278,16000,1,PCM_16,0.042709,0.2435,0.053486,OK,True,True,True,False,False,47,8,1,Valid,,True,True,True,Processed
PAIR_000048,IQ_000048.wav,IQ_000048.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.059,16000,1,PCM_16,0.039455,0.330811,0.066231,OK,True,True,True,False,False,57,11,1,Valid,,True,True,True,Processed
PAIR_000049,IQ_000049.wav,IQ_000049.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.991,16000,1,PCM_16,0.052085,0.34964,0.043923,OK,True,True,True,False,False,38,6,1,Valid,,True,True,True,Processed
PAIR_000050,IQ_000050.wav,IQ_000050.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.567,16000,1,PCM_16,0.045642,0.337097,0.039419,OK,True,True,True,False,False,26,4,1,Valid,,True,True,True,Processed
PAIR_000051,IQ_000051.wav,IQ_000051.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.952,16000,1,PCM_16,0.041753,0.372559,0.059258,OK,True,True,True,False,False,54,10,1,Valid,,True,True,True,Processed
PAIR_000052,IQ_000052.wav,IQ_000052.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.017,16000,1,PCM_16,0.042089,0.283142,0.063151,OK,True,True,True,False,False,18,3,1,Valid,,True,True,True,Processed
PAIR_000053,IQ_000053.wav,IQ_000053.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.235,16000,1,PCM_16,0.034405,0.29715,0.076446,OK,True,True,True,False,False,47,11,1,Valid,,True,True,True,Processed
PAIR_000054,IQ_000054.wav,IQ_000054.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.226,16000,1,PCM_16,0.064003,0.527618,0.042579,OK,True,True,True,False,False,57,12,1,Valid,,True,True,True,Processed
PAIR_000055,IQ_000055.wav,IQ_000055.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.814,16000,1,PCM_16,0.059501,0.466614,0.028415,OK,True,True,True,False,False,57,11,1,Valid,,True,True,True,Processed
PAIR_000056,IQ_000056.wav,IQ_000056.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.049,16000,1,PCM_16,0.027178,0.2146,0.073939,OK,True,True,True,False,False,30,6,1,Valid,,True,True,True,Processed
PAIR_000057,IQ_000057.wav,IQ_000057.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.257,16000,1,PCM_16,0.026662,0.195679,0.095038,OK,True,True,True,False,False,17,3,1,Valid,,True,True,True,Processed
PAIR_000058,IQ_000058.wav,IQ_000058.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.155,16000,1,PCM_16,0.031293,0.235199,0.082508,OK,True,True,True,False,False,46,8,1,Valid,,True,True,True,Processed
PAIR_000059,IQ_000059.wav,IQ_000059.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.01,16000,1,PCM_16,0.029937,0.210999,0.0799,OK,True,True,True,False,False,39,10,1,Valid,,True,True,True,Processed
PAIR_000060,IQ_000060.wav,IQ_000060.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.038,16000,1,PCM_16,0.032447,0.216248,0.069737,OK,True,True,True,False,False,17,4,1,Valid,,True,True,True,Processed
PAIR_000061,IQ_000061.wav,IQ_000061.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.912,16000,1,PCM_16,0.03043,0.199493,0.040926,OK,True,True,True,False,False,19,3,1,Valid,,True,True,True,Processed
PAIR_000062,IQ_000062.wav,IQ_000062.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.55,16000,1,PCM_16,0.035906,0.280304,0.086569,OK,True,True,True,False,False,25,4,1,Valid,,True,True,True,Processed
PAIR_000063,IQ_000063.wav,IQ_000063.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,4.023,16000,1,PCM_16,0.026598,0.285309,0.077274,OK,True,True,True,False,False,41,8,1,Valid,,True,True,True,Processed
PAIR_000064,IQ_000064.wav,IQ_000064.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.387,16000,1,PCM_16,0.033465,0.420288,0.058602,OK,True,True,True,False,False,27,5,1,Valid,,True,True,True,Processed
PAIR_000065,IQ_000065.wav,IQ_000065.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.94,16000,1,PCM_16,0.027931,0.193542,0.080573,OK,True,True,True,False,False,25,6,1,Valid,,True,True,True,Processed
PAIR_000066,IQ_000066.wav,IQ_000066.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,5.08,16000,1,PCM_16,0.04158,0.252991,0.045448,OK,True,True,True,False,False,44,9,1,Valid,,True,True,True,Processed
PAIR_000067,IQ_000067.wav,IQ_000067.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.81,16000,1,PCM_16,0.036874,0.385529,0.058007,OK,True,True,True,False,False,30,5,1,Valid,,True,True,True,Processed
PAIR_000068,IQ_000068.wav,IQ_000068.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.422,16000,1,PCM_16,0.042079,0.347748,0.034656,OK,True,True,True,False,False,34,7,1,Valid,,True,True,True,Processed
PAIR_000069,IQ_000069.wav,IQ_000069.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.544,16000,1,PCM_16,0.042601,0.308594,0.050683,OK,True,True,True,False,False,17,2,1,Valid,,True,True,True,Processed
PAIR_000070,IQ_000070.wav,IQ_000070.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.923,16000,1,PCM_16,0.026479,0.159271,0.060524,OK,True,True,True,False,False,65,13,1,Valid,,True,True,True,Processed
PAIR_000071,IQ_000071.wav,IQ_000071.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.929,16000,1,PCM_16,0.022722,0.128113,0.118034,OK,True,True,True,False,False,10,2,1,Valid,,True,True,True,Processed
PAIR_000072,IQ_000072.wav,IQ_000072.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.219,16000,1,PCM_16,0.022082,0.14209,0.104805,OK,True,True,True,False,False,20,3,1,Valid,,True,True,True,Processed
PAIR_000073,IQ_000073.wav,IQ_000073.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.431,16000,1,PCM_16,0.025441,0.181183,0.084469,OK,True,True,True,False,False,44,8,1,Valid,,True,True,True,Processed
PAIR_000074,IQ_000074.wav,IQ_000074.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,3.72,16000,1,PCM_16,0.027275,0.211121,0.087114,OK,True,True,True,False,False,36,5,1,Valid,,True,True,True,Processed
PAIR_000075,IQ_000075.wav,IQ_000075.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.004,16000,1,PCM_16,0.023953,0.161102,0.10111,OK,True,True,True,False,False,7,1,1,Valid,,True,True,True,Processed
PAIR_000076,IQ_000076.wav,IQ_000076.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.826,16000,1,PCM_16,0.024033,0.173492,0.082338,OK,True,True,True,False,False,43,9,1,Valid,,True,True,True,Processed
PAIR_000077,IQ_000077.wav,IQ_000077.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,1.815,16000,1,PCM_16,0.029777,0.182861,0.059022,OK,True,True,True,False,False,25,5,1,Valid,,True,True,True,Processed
PAIR_000078,IQ_000078.wav,IQ_000078.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.189,16000,1,PCM_16,0.023599,0.17572,0.08557,OK,True,True,True,False,False,24,4,1,Valid,,True,True,True,Processed
PAIR_000079,IQ_000079.wav,IQ_000079.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.69,16000,1,PCM_16,0.022903,0.188477,0.099164,OK,True,True,True,False,False,30,5,1,Valid,,True,True,True,Processed
PAIR_000080,IQ_000080.wav,IQ_000080.txt,,,,,,,,,False,False,False,,,Arabic,Iraq,,True,2.209,16000,1,PCM_16,0.026388,0.231781,0.089124,OK,True,True,True,False,False,21,5,1,Valid,,True,True,True,Processed
