pair_id,audio_file,alignment_ready,preparation_status,alignment_status,alignment_score,alignment_validation
PAIR_000044,IQ_000044.wav,True,Ready,Completed,1.0,Passed
PAIR_000045,IQ_000045.wav,True,Ready,Completed,1.0,Passed
PAIR_000046,IQ_000046.wav,True,Ready,Completed,1.0,Passed
PAIR_000047,IQ_000047.wav,True,Ready,Completed,1.0,Passed
PAIR_000048,IQ_000048.wav,True,Ready,Completed,1.0,Passed
PAIR_000049,IQ_000049.wav,True,Ready,Completed,1.0,Passed
PAIR_000050,IQ_000050.wav,True,Ready,Completed,1.0,Passed
PAIR_000051,IQ_000051.wav,True,Ready,Completed,1.0,Passed
PAIR_000052,IQ_000052.wav,True,Ready,Completed,1.0,Passed
PAIR_000053,IQ_000053.wav,True,Ready,Completed,1.0,Passed
PAIR_000054,IQ_000054.wav,True,Ready,Completed,1.0,Passed
PAIR_000055,IQ_000055.wav,True,Ready,Completed,1.0,Passed
PAIR_000056,IQ_000056.wav,True,Ready,Completed,1.0,Passed
PAIR_000057,IQ_000057.wav,True,Ready,Completed,1.0,Passed
PAIR_000058,IQ_000058.wav,True,Ready,Completed,1.0,Passed
PAIR_000059,IQ_000059.wav,True,Ready,Completed,1.0,Passed
PAIR_000060,IQ_000060.wav,True,Ready,Completed,1.0,Passed
PAIR_000061,IQ_000061.wav,True,Ready,Completed,1.0,Passed
PAIR_000062,IQ_000062.wav,True,Ready,Completed,1.0,Passed
PAIR_000063,IQ_000063.wav,True,Ready,Completed,1.0,Passed
PAIR_000064,IQ_000064.wav,True,Ready,Completed,1.0,Passed
PAIR_000065,IQ_000065.wav,True,Ready,Completed,1.0,Passed
PAIR_000066,IQ_000066.wav,True,Ready,Completed,1.0,Passed
PAIR_000067,IQ_000067.wav,True,Ready,Completed,1.0,Passed
PAIR_000068,IQ_000068.wav,True,Ready,Completed,1.0,Passed
PAIR_000069,IQ_000069.wav,True,Ready,Completed,1.0,Passed
PAIR_000070,IQ_000070.wav,True,Ready,Completed,1.0,Passed
PAIR_000071,IQ_000071.wav,True,Ready,Completed,1.0,Passed
PAIR_000072,IQ_000072.wav,True,Ready,Completed,1.0,Passed
PAIR_000073,IQ_000073.wav,True,Ready,Completed,1.0,Passed
PAIR_000074,IQ_000074.wav,True,Ready,Completed,1.0,Passed
PAIR_000075,IQ_000075.wav,True,Ready,Completed,1.0,Passed
PAIR_000076,IQ_000076.wav,True,Ready,Completed,1.0,Passed
PAIR_000077,IQ_000077.wav,True,Ready,Completed,1.0,Passed
PAIR_000078,IQ_000078.wav,True,Ready,Completed,1.0,Passed
PAIR_000079,IQ_000079.wav,True,Ready,Completed,1.0,Passed
PAIR_000080,IQ_000080.wav,True,Ready,Completed,1.0,Passed
