pair_id,audio_file,transcript_file,status,speaker_id,speaker_name,gender,age,dialect,governorate,duration_sec,sample_rate,channels,bit_depth,transcript,normalized_text,audio_processed,segmented,aligned,alignment_score,source,language,country,remarks
PAIR_000024,IQ_000024.wav,IQ_000024.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000025,IQ_000025.wav,IQ_000025.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000026,IQ_000026.wav,IQ_000026.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000027,IQ_000027.wav,IQ_000027.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000028,IQ_000028.wav,IQ_000028.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000029,IQ_000029.wav,IQ_000029.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000030,IQ_000030.wav,IQ_000030.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000031,IQ_000031.wav,IQ_000031.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000032,IQ_000032.wav,IQ_000032.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000033,IQ_000033.wav,IQ_000033.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000034,IQ_000034.wav,IQ_000034.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000035,IQ_000035.wav,IQ_000035.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000036,IQ_000036.wav,IQ_000036.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000037,IQ_000037.wav,IQ_000037.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000038,IQ_000038.wav,IQ_000038.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000039,IQ_000039.wav,IQ_000039.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000040,IQ_000040.wav,IQ_000040.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000041,IQ_000041.wav,IQ_000041.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000042,IQ_000042.wav,IQ_000042.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000043,IQ_000043.wav,IQ_000043.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000044,IQ_000044.wav,IQ_000044.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000045,IQ_000045.wav,IQ_000045.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000046,IQ_000046.wav,IQ_000046.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000047,IQ_000047.wav,IQ_000047.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000048,IQ_000048.wav,IQ_000048.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000049,IQ_000049.wav,IQ_000049.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000050,IQ_000050.wav,IQ_000050.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000051,IQ_000051.wav,IQ_000051.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000052,IQ_000052.wav,IQ_000052.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000053,IQ_000053.wav,IQ_000053.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000054,IQ_000054.wav,IQ_000054.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000055,IQ_000055.wav,IQ_000055.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000056,IQ_000056.wav,IQ_000056.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000057,IQ_000057.wav,IQ_000057.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000058,IQ_000058.wav,IQ_000058.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000059,IQ_000059.wav,IQ_000059.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000060,IQ_000060.wav,IQ_000060.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000061,IQ_000061.wav,IQ_000061.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000062,IQ_000062.wav,IQ_000062.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000063,IQ_000063.wav,IQ_000063.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000064,IQ_000064.wav,IQ_000064.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000065,IQ_000065.wav,IQ_000065.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000066,IQ_000066.wav,IQ_000066.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000067,IQ_000067.wav,IQ_000067.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000068,IQ_000068.wav,IQ_000068.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000069,IQ_000069.wav,IQ_000069.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000070,IQ_000070.wav,IQ_000070.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000071,IQ_000071.wav,IQ_000071.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000072,IQ_000072.wav,IQ_000072.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000073,IQ_000073.wav,IQ_000073.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000074,IQ_000074.wav,IQ_000074.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000075,IQ_000075.wav,IQ_000075.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000076,IQ_000076.wav,IQ_000076.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000077,IQ_000077.wav,IQ_000077.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000078,IQ_000078.wav,IQ_000078.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000079,IQ_000079.wav,IQ_000079.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000080,IQ_000080.wav,IQ_000080.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
